batch_id,upload_exists,developed_exists,raw_number,jpg_number,metadata_exists,metadata_json_number
NC_2025-03-03/,0,1,0,574,1,574
NC_2025-03-06/,0,1,0,533,1,533
NC_2025-03-07/,0,1,0,574,1,574
NC_2025-03-10/,0,1,0,498,1,498
NC_2025-03-12/,0,1,0,577,1,577
NC_2025-03-14/,0,1,0,576,1,576
NC_2025-03-17/,0,1,0,573,1,573
NC_2025-03-19/,0,1,0,573,1,573
NC_2025-03-21/,0,1,0,572,1,572
NC_2025-03-26/,0,1,0,609,1,609
NC_2025-03-28/,0,1,0,573,1,573
NC_2025-03-31/,0,1,0,573,1,573
NC_2025-04-02/,0,1,0,573,1,573
NC_2025-04-04/,0,1,0,571,1,571
NC_2025-06-06/,1,1,466,466,1,429
NC_2025-06-09/,1,1,500,500,1,484
NC_2025-06-11/,1,1,512,512,1,482
NC_2025-06-13/,1,1,474,474,1,455
NC_2025-06-16/,1,1,498,498,1,485
NC_2025-06-18/,1,1,500,499,1,477
NC_2025-06-20/,1,1,988,988,1,932
NC_2025-06-30/,1,1,1018,1003,1,963
NC_2025-07-02/,1,1,483,483,1,463
NC_2025-07-07/,1,1,483,483,1,465
NC_2025-07-09/,1,1,486,486,1,470
NC_2025-07-14/,1,1,3,3,1,3
NC_2025-07-16/,1,1,482,482,1,482
NC_2025-07-22/,1,1,482,482,1,467
NC_2025-07-23/,1,1,482,482,1,463
NC_2025-07-25/,1,1,481,481,1,440
NC_2025-07-28/,1,1,482,482,1,448
NC_2025-07-30/,1,1,484,484,1,449
NC_2025-08-01/,1,1,484,484,1,414
NC_2025-08-04/,1,1,482,482,1,433
NC_2025-08-08/,1,1,481,481,1,448
NC_2025-08-19/,0,1,0,221,0,0
NC_2025-08-20/,0,1,0,400,0,0
NC_2025-08-21/,1,1,71,71,1,51
NC_2025-08-22/,1,1,58,58,1,53
NC_2025-08-25/,0,1,0,101,1,101
NC_2025-08-26/,1,1,102,100,1,100
NC_2025-08-27/,1,1,111,110,1,110
NC_2025-08-28/,1,1,102,100,1,99
NC_2025-08-29/,1,1,193,113,1,113
NC_2025-09-03/,1,1,137,101,1,99
NC_2025-09-05/,1,1,110,100,1,99
NC_2025-09-08/,1,1,103,103,1,102
NC_2025-09-12/,1,1,32,20,1,20
NC_2025-09-15/,1,1,23,20,1,19
NC_2025-09-17/,0,1,0,20,1,19
NC_2025-09-19/,0,1,0,50,1,49
TX_2022-10-25/,0,1,0,187,0,0
TX_2022-11-02/,0,1,0,496,1,492
TX_2022-11-03/,0,1,0,499,1,499
TX_2022-11-09/,0,1,0,32,1,32
TX_2022-11-15/,0,1,0,492,1,492
TX_2022-11-17/,0,1,0,440,1,436
TX_2022-12-01/,0,1,0,334,1,333
TX_2022-12-06/,0,1,0,544,1,543
